n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,20.0,15,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,20.0,15,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,20.0,15,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,20.0,15,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,30.0,2,1,sqrt,balanced,1.0,0.6344086021505376,0.3655913978494624
50,30.0,2,1,sqrt,,1.0,0.6075268817204301,0.3924731182795699
50,30.0,2,1,log2,balanced,1.0,0.6344086021505376,0.3655913978494624
50,30.0,2,1,log2,,1.0,0.6075268817204301,0.3924731182795699
50,30.0,2,1,,balanced,1.0,0.5967741935483871,0.4032258064516129
50,30.0,2,1,,,1.0,0.6344086021505376,0.3655913978494624
50,30.0,2,2,sqrt,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,30.0,2,2,sqrt,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,30.0,2,2,log2,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,30.0,2,2,log2,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,30.0,2,2,,balanced,0.9977477477477478,0.6505376344086021,0.34721011333914564
50,30.0,2,2,,,0.9977477477477478,0.6182795698924731,0.37946817785527465
50,30.0,2,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,30.0,2,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,30.0,2,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,30.0,2,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,30.0,2,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,30.0,2,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,30.0,2,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
